Date,Close,MA_short,MA_long,Signal,Action,Cash,Holdings,Equity
2024-06-04,172.37,110.98,117.14,SELL,HOLD,174427.32,0.0,174427.32
2024-06-05,173.97,110.53,116.21,SELL,HOLD,174427.32,0.0,174427.32
2024-06-06,175.28,110.32,115.33,SELL,HOLD,174427.32,0.0,174427.32
2024-06-07,173.03,110.38,114.53,SELL,HOLD,174427.32,0.0,174427.32
2024-06-10,173.77,110.73,113.83,SELL,HOLD,174427.32,0.0,174427.32
2024-06-11,175.37,111.41,113.28,SELL,HOLD,174427.32,0.0,174427.32
2024-06-12,176.53,112.41,112.89,SELL,HOLD,174427.32,0.0,174427.32
2024-06-13,173.92,113.76,112.68,BUY,BUY,0.0,1001.8936,174252.89
2024-06-14,175.54,115.42,112.7,BUY,HOLD,0.0,1001.8936,175874.46
2024-06-17,175.99,117.38,112.94,BUY,HOLD,0.0,1001.8936,176322.13
2024-06-18,173.85,119.59,113.43,BUY,HOLD,0.0,1001.8936,174183.24
2024-06-20,175.06,122.03,114.17,BUY,HOLD,0.0,1001.8936,175387.0
2024-06-21,178.36,124.67,115.17,BUY,HOLD,0.0,1001.8936,178699.77
2024-06-24,177.95,127.51,116.42,BUY,HOLD,0.0,1001.8936,178291.88
2024-06-25,182.73,130.41,117.92,BUY,HOLD,0.0,1001.8936,183076.96
2024-06-26,182.58,133.35,119.64,BUY,HOLD,0.0,1001.8936,182927.72
2024-06-27,184.1,136.26,121.57,BUY,HOLD,0.0,1001.8936,184449.82
2024-06-28,180.86,139.09,123.67,BUY,HOLD,0.0,1001.8936,181206.7
2024-07-01,181.7,141.74,125.91,BUY,HOLD,0.0,1001.8936,182042.35
2024-07-02,183.93,144.18,128.26,BUY,HOLD,0.0,1001.8936,184280.68
2024-07-03,184.51,146.37,130.66,BUY,HOLD,0.0,1001.8936,184857.71
2024-07-05,189.25,148.24,133.08,BUY,HOLD,0.0,1001.8936,189612.95
2024-07-08,187.7,149.7,135.45,BUY,HOLD,0.0,1001.8936,188051.07
2024-07-09,187.65,150.74,137.73,BUY,HOLD,0.0,1001.8936,188001.32
2024-07-10,189.83,151.32,139.86,BUY,HOLD,0.0,1001.8936,190189.92
2024-07-11,184.26,151.45,141.82,BUY,HOLD,0.0,1001.8936,184609.0
2024-07-12,183.76,151.13,143.55,BUY,HOLD,0.0,1001.8936,184111.57
2024-07-15,185.21,150.34,145.0,BUY,HOLD,0.0,1001.8936,185563.99
2024-07-16,182.62,149.1,146.14,BUY,HOLD,0.0,1001.8936,182967.52
2024-07-17,179.74,147.43,146.95,BUY,HOLD,0.0,1001.8936,180082.58
2024-07-18,176.44,145.36,147.4,SELL,SELL,176593.03,0.0,176593.03
2024-07-19,176.41,142.95,147.48,SELL,HOLD,176593.03,0.0,176593.03
2024-07-22,180.39,140.26,147.18,SELL,HOLD,176593.03,0.0,176593.03
2024-07-23,180.51,137.36,146.52,SELL,HOLD,176593.03,0.0,176593.03
2024-07-24,171.41,134.31,145.5,SELL,HOLD,176593.03,0.0,176593.03
2024-07-25,166.1,131.16,144.14,SELL,HOLD,176593.03,0.0,176593.03
2024-07-26,165.82,127.97,142.47,SELL,HOLD,176593.03,0.0,176593.03
2024-07-29,168.33,124.85,140.53,SELL,HOLD,176593.03,0.0,176593.03
2024-07-30,169.09,121.8,138.35,SELL,HOLD,176593.03,0.0,176593.03
2024-07-31,170.33,118.92,135.99,SELL,HOLD,176593.03,0.0,176593.03
2024-08-01,169.55,116.21,133.48,SELL,HOLD,176593.03,0.0,176593.03
2024-08-02,165.48,113.77,130.88,SELL,HOLD,176593.03,0.0,176593.03
2024-08-05,158.13,111.57,128.24,SELL,HOLD,176593.03,0.0,176593.03
2024-08-06,157.17,109.67,125.6,SELL,HOLD,176593.03,0.0,176593.03
2024-08-07,157.82,108.06,123.01,SELL,HOLD,176593.03,0.0,176593.03
2024-08-08,160.89,106.76,120.52,SELL,HOLD,176593.03,0.0,176593.03
2024-08-09,162.51,105.73,118.15,SELL,HOLD,176593.03,0.0,176593.03
2024-08-12,161.14,104.96,115.95,SELL,HOLD,176593.03,0.0,176593.03
2024-08-13,163.0,104.43,113.93,SELL,HOLD,176593.03,0.0,176593.03
2024-08-14,159.24,104.13,112.12,SELL,HOLD,176593.03,0.0,176593.03
2024-08-15,160.16,103.98,110.52,SELL,HOLD,176593.03,0.0,176593.03
2024-08-16,161.81,104.0,109.14,SELL,HOLD,176593.03,0.0,176593.03
2024-08-19,165.49,104.11,107.97,SELL,HOLD,176593.03,0.0,176593.03
2024-08-20,166.0,104.33,107.02,SELL,HOLD,176593.03,0.0,176593.03
2024-08-21,164.68,104.56,106.27,SELL,HOLD,176593.03,0.0,176593.03
2024-08-22,162.64,104.84,105.69,SELL,HOLD,176593.03,0.0,176593.03
2024-08-23,164.45,105.1,105.29,HOLD,HOLD,176593.03,0.0,176593.03
2024-08-26,164.99,105.39,105.03,BUY,BUY,0.0,1069.2743,176416.43
2024-08-27,163.52,105.67,104.89,BUY,HOLD,0.0,1069.2743,174845.06
2024-08-28,161.7,105.95,104.86,BUY,HOLD,0.0,1069.2743,172902.12
2024-08-29,160.64,106.23,104.92,BUY,HOLD,0.0,1069.2743,171766.1
2024-08-30,162.23,106.55,105.06,BUY,HOLD,0.0,1069.2743,173464.85
2024-09-03,156.25,106.89,105.25,BUY,HOLD,0.0,1069.2743,167073.26
2024-09-04,155.35,107.32,105.5,BUY,HOLD,0.0,1069.2743,166107.08
2024-09-05,156.13,107.82,105.8,BUY,HOLD,0.0,1069.2743,166945.86
2024-09-06,149.85,108.46,106.15,BUY,HOLD,0.0,1069.2743,160235.75
2024-09-09,147.86,109.21,106.54,BUY,HOLD,0.0,1069.2743,158098.83
2024-09-10,147.81,110.1,107.0,BUY,HOLD,0.0,1069.2743,158045.69
2024-09-11,150.29,111.15,107.51,BUY,HOLD,0.0,1069.2743,160703.52
2024-09-12,153.8,112.37,108.1,BUY,HOLD,0.0,1069.2743,164456.39
2024-09-13,156.56,113.76,108.78,BUY,HOLD,0.0,1069.2743,167401.28
2024-09-16,157.15,115.31,109.55,BUY,HOLD,0.0,1069.2743,168039.14
2024-09-17,158.41,117.0,110.43,BUY,HOLD,0.0,1069.2743,169378.7
2024-09-18,158.89,118.8,111.41,BUY,HOLD,0.0,1069.2743,169899.65
2024-09-19,161.21,120.67,112.5,BUY,HOLD,0.0,1069.2743,172376.72
2024-09-20,162.65,122.6,113.7,BUY,HOLD,0.0,1069.2743,173918.3
2024-09-23,160.92,124.56,115.01,BUY,HOLD,0.0,1069.2743,172068.43
2024-09-24,161.36,126.53,116.43,BUY,HOLD,0.0,1069.2743,172536.2
