Date,Close,MA_short,MA_long,Signal,Action,Cash,Holdings,Equity
2024-05-22,424.78,249.59,236.41,BUY,HOLD,0.0,373.4328,158625.58
2024-05-23,421.3,252.25,238.24,BUY,HOLD,0.0,373.4328,157328.64
2024-05-24,424.42,254.96,240.3,BUY,HOLD,0.0,373.4328,158492.95
2024-05-28,424.58,257.73,242.53,BUY,HOLD,0.0,373.4328,158551.89
2024-05-29,423.44,260.65,244.91,BUY,HOLD,0.0,373.4328,158128.19
2024-05-30,409.14,263.66,247.44,BUY,HOLD,0.0,373.4328,152785.65
2024-05-31,409.59,266.87,250.09,BUY,HOLD,0.0,373.4328,152955.14
2024-06-03,408.0,270.3,252.86,BUY,HOLD,0.0,373.4328,152361.92
2024-06-04,410.52,274.08,255.77,BUY,HOLD,0.0,373.4328,153301.48
2024-06-05,418.35,278.14,258.81,BUY,HOLD,0.0,373.4328,156226.98
2024-06-06,418.86,282.57,262.02,BUY,HOLD,0.0,373.4328,156414.87
2024-06-07,418.2,287.33,265.39,BUY,HOLD,0.0,373.4328,156168.02
2024-06-10,422.16,292.5,268.97,BUY,HOLD,0.0,373.4328,157649.19
2024-06-11,426.91,298.07,272.77,BUY,HOLD,0.0,373.4328,159421.42
2024-06-12,435.18,303.97,276.8,BUY,HOLD,0.0,373.4328,162509.06
2024-06-13,435.69,310.18,281.08,BUY,HOLD,0.0,373.4328,162700.65
2024-06-14,436.67,316.66,285.65,BUY,HOLD,0.0,373.4328,163065.41
2024-06-17,442.39,323.32,290.47,BUY,HOLD,0.0,373.4328,165202.43
2024-06-18,440.39,330.06,295.55,BUY,HOLD,0.0,373.4328,164454.48
2024-06-20,439.75,336.79,300.88,BUY,HOLD,0.0,373.4328,164218.69
2024-06-21,443.78,343.45,306.43,BUY,HOLD,0.0,373.4328,165721.95
2024-06-24,441.7,349.93,312.16,BUY,HOLD,0.0,373.4328,164944.53
2024-06-25,444.93,356.05,318.03,BUY,HOLD,0.0,373.4328,166153.05
2024-06-26,446.13,361.65,323.94,BUY,HOLD,0.0,373.4328,166598.88
2024-06-27,446.81,366.68,329.87,BUY,HOLD,0.0,373.4328,166853.1
2024-06-28,440.99,370.99,335.71,BUY,HOLD,0.0,373.4328,164679.24
2024-07-01,450.64,374.47,341.37,BUY,HOLD,0.0,373.4328,168282.69
2024-07-02,453.15,377.0,346.77,BUY,HOLD,0.0,373.4328,169222.26
2024-07-03,454.62,378.53,351.8,BUY,HOLD,0.0,373.4328,169771.24
2024-07-05,461.32,379.0,356.38,BUY,HOLD,0.0,373.4328,172273.03
2024-07-08,460.02,378.29,360.39,BUY,HOLD,0.0,373.4328,171786.66
2024-07-09,453.41,376.42,363.75,BUY,HOLD,0.0,373.4328,169318.05
2024-07-10,460.03,373.38,366.39,BUY,HOLD,0.0,373.4328,171790.36
2024-07-11,448.63,369.22,368.22,BUY,HOLD,0.0,373.4328,167534.74
2024-07-12,447.5,363.97,369.19,SELL,SELL,166943.91,0.0,166943.91
2024-07-15,447.9,357.66,369.23,SELL,HOLD,166943.91,0.0,166943.91
2024-07-16,443.52,350.41,368.32,SELL,HOLD,166943.91,0.0,166943.91
2024-07-17,437.6,342.28,366.44,SELL,HOLD,166943.91,0.0,166943.91
2024-07-18,434.5,333.42,363.59,SELL,HOLD,166943.91,0.0,166943.91
2024-07-19,431.28,323.97,359.78,SELL,HOLD,166943.91,0.0,166943.91
2024-07-22,437.03,314.08,355.06,SELL,HOLD,166943.91,0.0,166943.91
2024-07-23,438.92,303.95,349.48,SELL,HOLD,166943.91,0.0,166943.91
2024-07-24,423.18,293.73,343.12,SELL,HOLD,166943.91,0.0,166943.91
2024-07-25,412.82,283.51,336.05,SELL,HOLD,166943.91,0.0,166943.91
2024-07-26,419.6,273.52,328.39,SELL,HOLD,166943.91,0.0,166943.91
2024-07-29,421.04,263.88,320.24,SELL,HOLD,166943.91,0.0,166943.91
2024-07-30,417.28,254.75,311.72,SELL,HOLD,166943.91,0.0,166943.91
2024-07-31,412.77,246.21,302.95,SELL,HOLD,166943.91,0.0,166943.91
2024-08-01,411.55,238.39,294.07,SELL,HOLD,166943.91,0.0,166943.91
2024-08-02,403.04,231.39,285.2,SELL,HOLD,166943.91,0.0,166943.91
2024-08-05,389.88,225.28,276.48,SELL,HOLD,166943.91,0.0,166943.91
2024-08-06,394.28,220.11,268.01,SELL,HOLD,166943.91,0.0,166943.91
2024-08-07,393.11,215.9,259.93,SELL,HOLD,166943.91,0.0,166943.91
2024-08-08,397.32,212.67,252.33,SELL,HOLD,166943.91,0.0,166943.91
2024-08-09,400.6,210.39,245.3,SELL,HOLD,166943.91,0.0,166943.91
2024-08-12,401.38,209.06,238.92,SELL,HOLD,166943.91,0.0,166943.91
2024-08-13,408.49,208.66,233.27,SELL,HOLD,166943.91,0.0,166943.91
2024-08-14,411.3,209.12,228.37,SELL,HOLD,166943.91,0.0,166943.91
2024-08-15,416.16,210.36,224.29,SELL,HOLD,166943.91,0.0,166943.91
2024-08-16,413.63,212.38,221.04,SELL,HOLD,166943.91,0.0,166943.91
2024-08-19,416.66,215.08,218.62,SELL,HOLD,166943.91,0.0,166943.91
2024-08-20,419.89,218.44,217.03,BUY,BUY,0.0,397.1934,166776.96
2024-08-21,419.24,222.32,216.26,BUY,HOLD,0.0,397.1934,166517.82
2024-08-22,410.75,226.71,216.28,BUY,HOLD,0.0,397.1934,163145.37
2024-08-23,411.97,231.5,217.05,BUY,HOLD,0.0,397.1934,163632.23
2024-08-26,408.71,236.7,218.55,BUY,HOLD,0.0,397.1934,162336.64
2024-08-27,409.06,242.2,220.7,BUY,HOLD,0.0,397.1934,162474.06
2024-08-28,405.85,247.99,223.47,BUY,HOLD,0.0,397.1934,161202.03
2024-08-29,408.34,253.93,226.8,BUY,HOLD,0.0,397.1934,162191.39
2024-08-30,412.32,260.12,230.64,BUY,HOLD,0.0,397.1934,163769.64
2024-09-03,404.71,266.4,234.94,BUY,HOLD,0.0,397.1934,160746.59
2024-09-04,404.17,272.77,239.62,BUY,HOLD,0.0,397.1934,160534.59
2024-09-05,403.67,279.13,244.65,BUY,HOLD,0.0,397.1934,160334.35
2024-09-06,397.06,285.52,249.97,BUY,HOLD,0.0,397.1934,157707.88
2024-09-09,401.03,291.77,255.5,BUY,HOLD,0.0,397.1934,159286.12
2024-09-10,409.41,297.88,261.21,BUY,HOLD,0.0,397.1934,162615.39
2024-09-11,418.15,303.73,267.03,BUY,HOLD,0.0,397.1934,166085.99
2024-09-12,422.06,309.33,272.9,BUY,HOLD,0.0,397.1934,167640.67
2024-09-13,425.61,314.57,278.78,BUY,HOLD,0.0,397.1934,169050.12
2024-09-16,426.35,319.4,284.61,BUY,HOLD,0.0,397.1934,169344.58
2024-09-17,430.12,323.73,290.31,BUY,HOLD,0.0,397.1934,170840.38
2024-09-18,425.83,327.54,295.85,BUY,HOLD,0.0,397.1934,169136.49
2024-09-19,433.62,330.76,301.16,BUY,HOLD,0.0,397.1934,172230.19
2024-09-20,430.24,333.4,306.2,BUY,HOLD,0.0,397.1934,170887.48
2024-09-23,428.5,335.38,310.9,BUY,HOLD,0.0,397.1934,170196.53
2024-09-24,424.21,336.76,315.24,BUY,HOLD,0.0,397.1934,168492.61
2024-09-25,427.11,337.5,319.15,BUY,HOLD,0.0,397.1934,169646.87
2024-09-26,426.32,337.59,322.59,BUY,HOLD,0.0,397.1934,169332.78
2024-09-27,423.07,337.01,325.53,BUY,HOLD,0.0,397.1934,168041.14
2024-09-30,425.32,335.91,327.97,BUY,HOLD,0.0,397.1934,168936.26
2024-10-01,415.83,334.31,329.88,BUY,HOLD,0.0,397.1934,165163.38
2024-10-02,412.31,332.24,331.24,BUY,HOLD,0.0,397.1934,163765.7
2024-10-03,411.72,329.75,332.06,SELL,SELL,163370.54,0.0,163370.54
2024-10-04,411.25,326.93,332.35,SELL,HOLD,163370.54,0.0,163370.54
2024-10-07,404.8,323.85,332.13,SELL,HOLD,163370.54,0.0,163370.54
2024-10-08,409.92,320.56,331.42,SELL,HOLD,163370.54,0.0,163370.54
2024-10-09,412.63,317.14,330.27,SELL,HOLD,163370.54,0.0,163370.54
2024-10-10,411.03,313.67,328.71,SELL,HOLD,163370.54,0.0,163370.54
2024-10-11,411.51,310.2,326.78,SELL,HOLD,163370.54,0.0,163370.54
2024-10-14,414.29,306.72,324.54,SELL,HOLD,163370.54,0.0,163370.54
2024-10-15,413.9,303.31,322.02,SELL,HOLD,163370.54,0.0,163370.54
2024-10-16,411.31,299.96,319.28,SELL,HOLD,163370.54,0.0,163370.54
2024-10-17,411.9,296.73,316.36,SELL,HOLD,163370.54,0.0,163370.54
2024-10-18,413.33,293.6,313.33,SELL,HOLD,163370.54,0.0,163370.54
2024-10-21,413.94,290.56,310.21,SELL,HOLD,163370.54,0.0,163370.54
2024-10-22,422.57,287.56,307.02,SELL,HOLD,163370.54,0.0,163370.54
2024-10-23,419.69,284.64,303.81,SELL,HOLD,163370.54,0.0,163370.54
2024-10-24,419.82,281.74,300.6,SELL,HOLD,163370.54,0.0,163370.54
2024-10-25,423.2,278.9,297.41,SELL,HOLD,163370.54,0.0,163370.54
2024-10-28,421.66,276.05,294.25,SELL,HOLD,163370.54,0.0,163370.54
2024-10-29,426.96,273.24,291.14,SELL,HOLD,163370.54,0.0,163370.54
2024-10-30,427.53,270.46,288.08,SELL,HOLD,163370.54,0.0,163370.54
2024-10-31,401.65,267.7,285.06,SELL,HOLD,163370.54,0.0,163370.54
2024-11-01,405.63,264.98,282.1,SELL,HOLD,163370.54,0.0,163370.54
2024-11-04,403.74,262.31,279.19,SELL,HOLD,163370.54,0.0,163370.54
2024-11-05,406.7,259.74,276.35,SELL,HOLD,163370.54,0.0,163370.54
2024-11-06,415.32,257.32,273.57,SELL,HOLD,163370.54,0.0,163370.54
2024-11-07,420.51,255.08,270.86,SELL,HOLD,163370.54,0.0,163370.54
2024-11-08,417.65,253.13,268.25,SELL,HOLD,163370.54,0.0,163370.54
2024-11-11,413.18,251.49,265.75,SELL,HOLD,163370.54,0.0,163370.54
2024-11-12,418.14,250.23,263.4,SELL,HOLD,163370.54,0.0,163370.54
2024-11-13,420.28,249.38,261.2,SELL,HOLD,163370.54,0.0,163370.54
2024-11-14,421.95,249.01,259.21,SELL,HOLD,163370.54,0.0,163370.54
2024-11-15,410.2,249.17,257.45,SELL,HOLD,163370.54,0.0,163370.54
2024-11-18,410.95,249.91,255.97,SELL,HOLD,163370.54,0.0,163370.54
2024-11-19,412.96,251.18,254.8,SELL,HOLD,163370.54,0.0,163370.54
2024-11-20,410.69,253.05,253.97,SELL,HOLD,163370.54,0.0,163370.54
2024-11-21,408.91,255.43,253.52,BUY,BUY,0.0,399.1241,163207.17
2024-11-22,413.0,258.34,253.47,BUY,HOLD,0.0,399.1241,164839.74
2024-11-25,414.78,261.68,253.84,BUY,HOLD,0.0,399.1241,165547.34
2024-11-26,423.89,265.54,254.68,BUY,HOLD,0.0,399.1241,169184.09
2024-11-27,418.94,269.71,255.95,BUY,HOLD,0.0,399.1241,167207.59
2024-11-29,419.4,274.11,257.65,BUY,HOLD,0.0,399.1241,167393.38
2024-12-02,426.85,278.57,259.76,BUY,HOLD,0.0,399.1241,170366.03
2024-12-03,427.07,283.1,262.27,BUY,HOLD,0.0,399.1241,170453.0
2024-12-04,433.23,287.53,265.11,BUY,HOLD,0.0,399.1241,172911.75
2024-12-05,438.38,291.78,268.24,BUY,HOLD,0.0,399.1241,174967.31
2024-12-06,439.32,295.71,271.61,BUY,HOLD,0.0,399.1241,175342.85
2024-12-09,441.75,299.27,275.13,BUY,HOLD,0.0,399.1241,176311.33
2024-12-10,439.08,302.28,278.72,BUY,HOLD,0.0,399.1241,175247.98
2024-12-11,444.69,304.73,282.32,BUY,HOLD,0.0,399.1241,177485.37
2024-12-12,445.25,306.56,285.83,BUY,HOLD,0.0,399.1241,177710.68
2024-12-13,442.98,307.82,289.2,BUY,HOLD,0.0,399.1241,176805.45
2024-12-16,447.26,308.37,292.32,BUY,HOLD,0.0,399.1241,178513.14
2024-12-17,450.1,308.3,295.16,BUY,HOLD,0.0,399.1241,179647.64
2024-12-18,433.2,307.59,297.61,BUY,HOLD,0.0,399.1241,172899.9
2024-12-19,432.84,306.4,299.66,BUY,HOLD,0.0,399.1241,172757.59
2024-12-20,432.42,304.73,301.28,BUY,HOLD,0.0,399.1241,172587.63
2024-12-23,431.08,302.67,302.43,HOLD,HOLD,0.0,399.1241,172053.95
2024-12-24,435.12,300.33,303.11,SELL,SELL,173493.1,0.0,173493.1
2024-12-26,433.91,297.8,303.33,SELL,HOLD,173493.1,0.0,173493.1
2024-12-27,426.4,295.25,303.12,SELL,HOLD,173493.1,0.0,173493.1
2024-12-30,420.76,292.72,302.51,SELL,HOLD,173493.1,0.0,173493.1
2024-12-31,417.46,290.3,301.54,SELL,HOLD,173493.1,0.0,173493.1
2025-01-02,414.57,288.13,300.29,SELL,HOLD,173493.1,0.0,173493.1
2025-01-03,419.29,286.3,298.82,SELL,HOLD,173493.1,0.0,173493.1
2025-01-06,423.75,284.88,297.2,SELL,HOLD,173493.1,0.0,173493.1
2025-01-07,418.32,283.9,295.51,SELL,HOLD,173493.1,0.0,173493.1
2025-01-08,420.49,283.35,293.82,SELL,HOLD,173493.1,0.0,173493.1
2025-01-10,414.94,283.34,292.21,SELL,HOLD,173493.1,0.0,173493.1
2025-01-13,413.19,283.8,290.75,SELL,HOLD,173493.1,0.0,173493.1
2025-01-14,411.69,284.74,289.49,SELL,HOLD,173493.1,0.0,173493.1
2025-01-15,422.22,286.1,288.48,SELL,HOLD,173493.1,0.0,173493.1
2025-01-16,420.51,287.83,287.78,HOLD,HOLD,173493.1,0.0,173493.1
2025-01-17,424.92,289.89,287.4,BUY,BUY,0.0,407.8891,173319.61
2025-01-21,424.39,292.11,287.35,BUY,HOLD,0.0,407.8891,173105.49
2025-01-22,441.92,294.52,287.63,BUY,HOLD,0.0,407.8891,180255.95
